"type","label","hidden","current_path","proposed_path","decision","priority","rationale","replacement","courses","local_examples","evidence_scope","placement","source"
"sz_g2d_create_text_sprite","Criar sprite %1 com texto %2 em x %3 y %4","false","Jogo 2D > 🎮 Sprites","Sprites > Criar e trocar aparência","MANTER / REORGANIZAR","P1","Manter: criação dinâmica, aparência, dados e clique são capacidades distintas já disponíveis. Não acrescentar um bloco separado para números.","","","Chuva de números | Quiz de números","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:9"
"sz_g2d_spawn_text_in_group","No grupo %1 criar sprite %2 com texto %3 em x %4 y %5","false","Jogo 2D > 📦 Muitos","Grupos > Criar e percorrer","MANTER / REORGANIZAR","P1","Manter: criação dinâmica, aparência, dados e clique são capacidades distintas já disponíveis. Não acrescentar um bloco separado para números.","","","Chuva de números | Quiz de números","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:26"
"sz_g2d_set_sprite_text","Mudar o texto do sprite %1 para %2","false","Jogo 2D > 🎮 Sprites","Sprites > Texto e números","MANTER / REORGANIZAR","P1","Texto exibido separado dos dados; caixa controla quebra de linha, fundo e área de clique.","","","Quiz de números","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:44"
"sz_g2d_sprite_text","texto do sprite %1","false","Jogo 2D > 🎮 Sprites","Sprites > Texto e números","MANTER / REORGANIZAR","P1","Texto exibido separado dos dados; caixa controla quebra de linha, fundo e área de clique.","","","","catálogo e inspeção direcionada; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:59"
"sz_g2d_set_text_style","Texto do sprite %1 tamanho %2 cor %3","false","Jogo 2D > 🎮 Sprites","Sprites > Texto e números","MANTER / REORGANIZAR","P1","Texto exibido separado dos dados; caixa controla quebra de linha, fundo e área de clique.","","","Chuva de números | Quiz de números","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:68"
"sz_g2d_set_text_box","Caixa de texto do sprite %1 largura %2 alinhamento %3 margem %4 fundo %5","false","Jogo 2D > 🎮 Sprites","Sprites > Texto e números","MANTER / REORGANIZAR","P1","Texto exibido separado dos dados; caixa controla quebra de linha, fundo e área de clique.","","","Chuva de números | Quiz de números","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:84"
"sz_g2d_set_sprite_data","Guardar no sprite %1 o dado %2 como %3","false","Jogo 2D > 🎮 Sprites","Sprites > Dados","MANTER / REORGANIZAR","P1","Manter dados tipados separados do texto; as operações servem a qualquer sprite.","","","Chuva de números | Quiz de números","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:110"
"sz_g2d_sprite_data","dado %1 do sprite %2 ou %3","false","Jogo 2D > 🎮 Sprites","Sprites > Dados","MANTER / REORGANIZAR","P1","Manter dados tipados separados do texto; as operações servem a qualquer sprite.","","","Chuva de números | Quiz de números","catálogo e inspeção direcionada; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:126"
"sz_g2d_on_sprite_click","Quando clicar/tocar no sprite %1","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter: criação dinâmica, aparência, dados e clique são capacidades distintas já disponíveis. Não acrescentar um bloco separado para números.","","","Chuva de números | Quiz de números","catálogo e inspeção direcionada; uso externo não medido","event","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:140"
"sz_g2d_on_group_click","Quando clicar/tocar num sprite do grupo %1 chamá-lo de %2","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter: criação dinâmica, aparência, dados e clique são capacidades distintas já disponíveis. Não acrescentar um bloco separado para números.","","","Quiz de números","catálogo e inspeção direcionada; uso externo não medido","event","packages/studio/src/official-extensions/game-2d/blockCatalogText.ts:154"
